Branch Code,Branch Heading
ANN,Annerley Library
ASH,Ashgrove Library
BNO,Banyo Library
BRR,Bracken Ridge Library
BSQ,Brisbane Square Library
BUL,Bulimba Library
CDA,Corinda Library
CDE,Chermside Library
CNL,Carindale Library
CPL,Coopers Plains Library
CRA,Carina  Library
CRAL,Carina 24/7 Library Locker
EPK,Everton Park Library
FAI,Fairfield Library
GCY,Garden City Library
GNG,Grange Library
HAM,Hamilton Library
HPK,Holland Park Library
HPKL,Holland Park 24/7 Library Locker
INA,Inala Library
IPY,Indooroopilly Library
KEN,Kenmore  Library
MBG,Mt Coot-tha Library
MIT,Mitchelton Library
MTG,Mt Gravatt Library
MTO,Mt Ommaney Library
NDH,Nundah Library
NFM,New Farm Library
NFML,New Farm 24/7 Library Locker
POP,Pop-up library
SBK,Sunnybank Hills Library
SCR,Stones Corner Library
SGT,Sandgate Library
TWG,Toowong Library
VAN,Mobile Library
WND,West End Library
WYN,Wynnum Library
ZIL,Zillmere Library
